"annotation_id","annotator","caption","created_at","id","image","lead_time","updated_at","video_id"
143,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:00:47.222887Z",2,"/data/upload/2/48856b70-frame_0000.jpg",307.878,"2025-08-04T00:08:26.622133Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
144,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:04.084886Z",3,"/data/upload/2/14ee5747-frame_0001.jpg",29.21,"2025-08-04T00:08:33.830159Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
145,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:09.405714Z",4,"/data/upload/2/c2a8309d-frame_0002.jpg",12.43,"2025-08-04T00:08:39.987462Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
146,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:13.113498Z",5,"/data/upload/2/703343cd-frame_0003.jpg",11.574000000000002,"2025-08-04T00:09:08.572216Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
147,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:16.547893Z",6,"/data/upload/2/cb376ded-frame_0004.jpg",11.544,"2025-08-04T00:09:15.003694Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
148,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:20.193850Z",7,"/data/upload/2/b5e166fb-frame_0005.jpg",10.36,"2025-08-04T00:09:20.914135Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
149,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:23.614900Z",8,"/data/upload/2/ff196b01-frame_0006.jpg",11.887,"2025-08-04T00:09:27.471829Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
150,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:27.060698Z",9,"/data/upload/2/c4ced6ba-frame_0007.jpg",10.445,"2025-08-04T00:09:33.253799Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
151,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:31.201755Z",10,"/data/upload/2/77223d89-frame_0008.jpg",10.448,"2025-08-04T00:09:39.623770Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
152,"1","Gather equipment - French Gauge Nasogastric tubing, water-soluble lubricant, scissors, catheter tip syringe, suction drainage system, Hypoallergenic tape., towels, tissues, glass of water with a straw.","2025-08-04T00:03:34.506150Z",11,"/data/upload/2/f3c1b605-frame_0009.jpg",8.958,"2025-08-04T00:09:45.294364Z","Nasogastric tube insertion_clip_0.0s_to_175.0s"
